departamento,anio,uso_cabina_porc,tel_fija_unid,tel_movil_unid,tel_pub_unid,uso_inter_porc,sub_inter_fijo_unid,vab_tel_miles_2007,pbi_regional_miles,hogar_1_radio_porc,hogar_1_tv_porc,hogar_con_cable_porc,hogar_1_compu_porc,compus,id_logit
Arequipa,2015,15.7869314714279,149973.0,1473029.0,11547.0,45.36457891421134,109146.0,894536.0,23524592,87.1525064566543,93.49196782637935,14.4,20.7,3154.0,Alto
Arequipa,2016,15.41034597142029,148037.0,1505925.0,9639.0,50.11379928776068,117972.0,967344.0,29623112,87.71302323026475,93.82726525361696,28.1,26.7,2794.0,Alto
Arequipa,2017,12.022107417976956,145602.0,1505997.0,8998.0,53.54231527614089,127888.0,1037194.0,30724797,86.10673375367804,93.38777049401078,24.2,26.0,1522.0,Alto
Arequipa,2018,10.66370136977634,133201.0,1571567.0,8054.0,57.290703083891636,140405.0,1112326.0,31506818,86.98168458120496,93.67809541728978,55.58438737715404,49.08565460229095,12174.0,Alto
Arequipa,2019,8.982069351660385,123330.0,1557952.0,6905.0,66.1170544990897,136853.0,1197028.0,31404343,86.76001516146242,94.22898857578123,46.0,25.8,2429.999999999999,Alto
Arequipa,2020,2.9814170124414074,113985.0,1599928.0,5722.0,74.30210049031511,157303.0,1276093.0,26491442,87.69287597248105,91.66665916825009,22.9,17.6,1841.0,Alto
Arequipa,2021,0.82392216090529,109604.0,1677360.0,5486.0,79.9393939098738,166065.0,1401976.0,29989964,83.92733959295775,91.92425870049448,46.4,30.6,325.0,Alto
Ayacucho,2011,17.795788535694847,17002.0,364818.0,3621.0,23.3,6682.0,93417.0,4111349,74.47228892585544,58.071240623586746,34.5,41.7,1441.0,Bajo
Ayacucho,2012,16.447792679919893,18793.0,405354.0,3850.0,23.86249020335816,10317.0,110121.0,4482971,77.0,59.3,26.3,25.4,1211.0,Bajo
Ayacucho,2013,17.320078100148535,19159.0,456900.0,3313.0,24.070094497763534,11695.0,125677.0,4906299,77.67017584430712,63.54367149162368,27.0,23.0,3598.0,Bajo
Ayacucho,2014,16.104013972907534,18567.0,499713.0,3068.0,23.928326311325204,12398.0,139512.0,4879476,72.42506518242303,64.10744097955767,4.6,20.4,2715.0,Bajo
Ayacucho,2015,18.35665305704005,17678.0,531270.0,2603.0,26.602534382758403,13085.0,153547.0,5162331,73.81484845262311,60.40999751867916,51.1,19.6,1603.0,Bajo
Ayacucho,2016,17.942883208558687,16518.0,563393.0,2288.0,29.19546542353562,13542.0,174710.0,5177917,70.02042974355362,64.49697959389546,16.3,37.5,2384.0,Bajo
Ayacucho,2017,14.827709797733945,18625.0,569483.0,2082.0,28.33409315429,16459.0,196304.0,5451854,74.26059704821174,60.39136959129851,41.6,29.3,532.0,Bajo
Ayacucho,2018,14.99818207856983,17292.0,602293.0,1798.0,32.75367360874512,18487.0,215619.0,5760202,71.99176990028494,60.69795302806193,19.9,19.3,1123.0,Bajo
Ayacucho,2019,11.00490881852982,15947.0,579310.0,1287.0,36.925020293805034,17925.0,232686.0,5931518,71.17240970921787,57.488774081033505,19.83267522767828,15.03186209856736,860.0,Bajo
Ayacucho,2020,6.083732053498981,15696.0,631661.0,1201.0,43.43160447084927,26060.0,252326.0,5200203,73.46757209629958,60.37638413250874,26.09619559917092,29.86450155038167,3518.0,Bajo
Ayacucho,2021,1.5519993417689448,18862.0,663409.0,1136.0,59.891433472226005,29952.0,285612.0,5812277,70.5791126923989,64.03283053340903,10.9083651809406,14.00354485952308,1108.0,Bajo
Cajamarca,2011,11.473036760655107,30726.0,728226.0,4162.0,18.3,13528.0,202788.0,10595497,86.34934030568625,55.22611167679087,30.23925612477652,41.06186745687074,3663.0,Alto
Cajamarca,2012,10.456117486926976,32415.0,809140.0,4423.0,17.553850673089087,16660.0,230473.0,11270583,83.7,53.7,8.421302890316266,12.68289875331223,2130.0,Alto
Cajamarca,2013,9.107976693917523,34100.0,872576.0,3960.0,16.84878402926544,19322.0,249949.0,11086928,85.30200330862203,56.86831697353541,9.075818297559842,16.9754138751343,3616.0,Alto
Cajamarca,2014,9.06336844281874,32120.0,959579.0,3890.0,15.280519688362912,20149.0,273917.0,10855588,79.49200380300482,54.37994658395689,55.95459992479286,42.36610065414298,1601.0,Alto
Cajamarca,2015,7.265117724674246,32326.0,1012045.0,3622.0,15.198090079136422,23082.0,303609.0,10798612,77.34539175765738,55.599589210702305,15.89548597721768,26.53039898401199,7099.0,Alto
Cajamarca,2016,7.563754165349422,31323.0,1072210.0,3136.0,19.509863547385958,25964.0,339939.0,10581305,79.26403970094844,56.22811480893692,5.814081357529897,10.32157547033732,1600.0,Alto
Cajamarca,2017,7.416234118426508,33041.0,1121809.0,2894.0,23.25191591283452,28109.0,376807.0,10901682,75.04100831388065,57.68874443844321,18.11408748979013,17.3112463988693,1396.0,Alto
Cajamarca,2018,6.296565289581141,32595.0,1122147.0,2574.0,25.569759464568843,31728.0,392996.0,11209419,72.7344013439691,54.2028569615723,34.33107382055352,37.49218090434137,1500.0,Alto
Cajamarca,2019,6.067709499636931,29954.0,1075831.0,1478.0,31.11022831443289,29902.0,420107.0,11479756,74.7117776019761,58.506329689834146,15.55022106375103,26.98089392076126,3738.0,Alto
Cajamarca,2020,1.6374006478958032,27996.0,1188889.0,1820.0,44.78580636161449,38726.0,449733.0,10316482,74.95281817142815,56.88398026839179,30.00382744182288,29.26625895962202,3085.0,Alto
Cajamarca,2021,0.20368561181236428,28365.0,1286083.0,1223.0,53.318360238538844,43181.0,506642.0,11507718,67.35929861049344,57.92864045309898,25.57939339585936,30.68710848399244,1589.0,Alto
Callao,2011,23.124804941767916,116550.0,1132908.0,6696.0,46.6,59846.0,867485.0,17563803,83.7808765037847,96.74173938665055,56.74279767415463,50.64780506682599,12900.0,Alto
Callao,2012,20.43532316408443,116550.0,1132908.0,6696.0,52.741634943073656,71058.0,867485.0,18070083,81.1,96.1,46.14087354950373,30.3036833700685,2660.999999999999,Alto
Callao,2013,18.834916893206927,116550.0,1132908.0,6696.0,55.11684000695317,81353.0,867485.0,19196199,82.5395864792198,97.23524373496133,22.71873585355619,14.97350472401545,1793.0,Alto
